no,m,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,label
2,201703,1999.0,28482.0,35.0,0.0,0.0,452.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,1.0,0.0,0.0,7930.0,6.0,10110.0,21.0,0.0,0.0,16727.0,9.0,2030.0,5.0,6671.0,13.0,3052.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,7730.0,6.0,43669.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1879.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35000.0,1.0,0.0,0.0,8669.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0,263.0,0.0,0.0,0.0,5000.0,0.0,4000.0,1000.0,0.0,0.0,4000.0,35000.0,0.0,0.0,1565.0,0.0,0.0,0.0,0.0,0.0,0.0,2910.0,5.0,0.0,0.0,2910.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,3.0,600.0,1.0,310.0,1.0,0.0,0.0,35900.0,2.0,35900.0,2.0,0.0,0.0,35000.0,1.0,0.0,0.0,900.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,800.0,0.0,35000.0,35000.0,0.0,0.0,1.0,0.0,0.0,411.0,7.0,8.0,5.0,1.0,1.0,6.0,3.0,44490.0,,201307.0,201703.0,201304.0,201703.0,,,,,,28000.0,47630.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,1
5,201804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31730.0,5.0,,,16730.0,4.0,,,,,19340.0,3.0,1140.0,1.0,11250.0,1.0,,,,,6300.0,2.0,6300.0,2.0,,,,,,,,,3300.0,1.0,3000.0,1.0,,,15000.0,,11250.0,,3300.0,3300.0,,11430.0,3.0,3220.0,,20.0,6.0,4.0,6.0,1.0,1.0,4.0,4.0,0.0,,201301.0,201804.0,201401.0,201804.0,,,,,,40575.0,62785.0,9.0,12.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,3.0,1.0,1.0,0.0,2.0,,,,,,4.0,0.0,0.0,0.0,0.0,1
5,201803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.0,1.0,,,160.0,1.0,,,160.0,1.0,,,,,,,,,,,11290.0,3.0,11290.0,3.0,,,,,,,60.0,1.0,7000.0,1.0,4230.0,1.0,,,160.0,,160.0,,7000.0,7000.0,,11230.0,3.0,11230.0,,20.0,5.0,4.0,5.0,1.0,1.0,4.0,3.0,0.0,,201301.0,201802.0,201401.0,201803.0,,,,,,40575.0,62785.0,9.0,12.0,,,,,,,3.0,2.0,1.0,0.0,0.0,2.0,,,,,,4.0,0.0,0.0,0.0,0.0,1
5,201802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700.0,1.0,,,700.0,1.0,,,,,700.0,1.0,,,,,,,,,6600.0,2.0,6600.0,2.0,,,,,,,1600.0,1.0,5000.0,1.0,,,,,700.0,,700.0,,5000.0,5000.0,,11230.0,4.0,7410.0,,20.0,5.0,4.0,5.0,1.0,1.0,4.0,3.0,0.0,,201301.0,201802.0,201401.0,201802.0,,,,,,40575.0,62785.0,9.0,12.0,,,,,,,3.0,2.0,1.0,0.0,0.0,2.0,,,,,,4.0,0.0,0.0,0.0,0.0,1
5,201801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6510.0,1.0,,,6510.0,1.0,,,,,6510.0,1.0,,,,,,,,,10600.0,5.0,10600.0,5.0,,,2200.0,2.0,5000.0,1.0,3400.0,2.0,,,,,,,6510.0,,6510.0,,5000.0,5000.0,,13050.0,2.0,13050.0,,20.0,5.0,4.0,5.0,1.0,1.0,4.0,3.0,0.0,,201301.0,201711.0,201401.0,201801.0,,,,,,40575.0,62785.0,8.0,12.0,2.0,2.0,1.0,0.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,2.0,,,,,,4.0,0.0,0.0,0.0,0.0,1
5,201712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,1.0,,,40.0,1.0,,,,,,,,,,,40.0,1.0,,,4950.0,2.0,4950.0,2.0,,,,,,,4950.0,2.0,,,,,,,40.0,,40.0,,4920.0,4920.0,,,1.0,,,20.0,5.0,4.0,5.0,1.0,1.0,4.0,3.0,0.0,,201301.0,201711.0,201401.0,201712.0,,,,,,40575.0,62785.0,9.0,12.0,,,,,,,1.0,1.0,0.0,0.0,0.0,1.0,,,,,,4.0,0.0,0.0,0.0,0.0,1
5,201711,,5400.0,3.0,3900.0,1.0,1500.0,2.0,,,,,,,3900.0,1.0,,,,,,,,,1500.0,2.0,,,3900.0,1.0,,,,,,,,,,,3890.0,1.0,,,,,,,,,,,,,,,,,,,,,3890.0,1.0,,,,,,,,,,,3900.0,3900.0,1000.0,,,,3900.0,,,,,,,3890.0,,,,,,,,,,35630.0,2.0,,,35630.0,2.0,,,3110.0,1.0,32520.0,1.0,,,,,,,,,4680.0,1.0,4680.0,1.0,,,,,4680.0,1.0,,,,,,,,,32520.0,,32520.0,,4680.0,4680.0,,,1.0,,,20.0,5.0,4.0,5.0,1.0,1.0,4.0,3.0,0.0,,201301.0,201711.0,201401.0,201711.0,,,,,,40575.0,62785.0,9.0,12.0,,,,,,,1.0,1.0,0.0,0.0,0.0,1.0,,,,,,4.0,0.0,0.0,0.0,0.0,1
5,201710,,1500.0,2.0,,,1500.0,2.0,1500.0,2.0,,,,,,,,,,,,,,,,,,,1500.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,,1000.0,1000.0,,,,,,,,,,,,,,,,,,,,4820.0,2.0,,,4820.0,2.0,,,,,,,0.0,1.0,4820.0,1.0,,,,,12860.0,2.0,12860.0,2.0,,,,,7000.0,1.0,,,,,5860.0,1.0,,,4820.0,,4820.0,,7000.0,7000.0,,6370.0,2.0,6370.0,,20.0,5.0,4.0,5.0,1.0,1.0,4.0,3.0,0.0,,201301.0,201710.0,201401.0,201710.0,,,,,,40575.0,62785.0,7.0,12.0,,,,,,,1.0,1.0,0.0,0.0,0.0,1.0,,,,,,4.0,0.0,0.0,0.0,0.0,1
5,201709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65340.0,5.0,3490.0,1.0,61840.0,3.0,,,,,3490.0,1.0,10.0,2.0,61840.0,2.0,,,,,10090.0,3.0,10090.0,3.0,,,,,5000.0,1.0,90.0,1.0,5000.0,1.0,,,,,40190.0,3490.0,40190.0,,5000.0,5000.0,,,1.0,,40575.0,20.0,5.0,4.0,5.0,1.0,1.0,4.0,3.0,0.0,,201301.0,201708.0,201401.0,201709.0,,,,,,40575.0,62785.0,6.0,12.0,,,,,,,1.0,1.0,0.0,0.0,0.0,1.0,,,,,,4.0,0.0,0.0,0.0,0.0,1
5,201708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8870.0,3.0,,,8860.0,2.0,,,,,8870.0,2.0,0.0,1.0,,,,,,,3000.0,2.0,3000.0,2.0,,,,,,,3000.0,2.0,,,,,,,8860.0,,8860.0,,2000.0,2000.0,,2860.0,4.0,2850.0,,20.0,5.0,4.0,5.0,1.0,1.0,4.0,3.0,0.0,,201301.0,201708.0,201401.0,201708.0,,,,,,21498.0,43708.0,6.0,12.0,,,,,,,1.0,1.0,0.0,0.0,0.0,1.0,,,,,,4.0,0.0,0.0,0.0,0.0,1
5,201707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.0,2.0,2020.0,1.0,0.0,1.0,,,,,2020.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2020.0,2020.0,0.0,,,,,,1.0,,,20.0,5.0,3.0,5.0,1.0,1.0,3.0,3.0,0.0,,201301.0,201602.0,201401.0,201707.0,,,,,,21498.0,43708.0,7.0,12.0,,,,,,,1.0,1.0,0.0,0.0,0.0,1.0,,,,,,4.0,0.0,0.0,0.0,0.0,1
5,201706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,0.0,1.0,,,,,,,0.0,1.0,,,,,,,10000.0,1.0,10000.0,1.0,,,,,10000.0,1.0,,,,,,,,,0.0,,0.0,,10000.0,10000.0,,7120.0,3.0,7120.0,,20.0,5.0,3.0,5.0,1.0,1.0,3.0,3.0,0.0,,201301.0,201602.0,201401.0,201706.0,,,,,,21498.0,43708.0,7.0,12.0,,,,,,,1.0,1.0,0.0,0.0,0.0,1.0,,,,,,4.0,0.0,0.0,0.0,0.0,1
5,201705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,0.0,1.0,,,,,,,0.0,1.0,,,,,,,2710.0,2.0,2710.0,2.0,,,400.0,1.0,,,,,,,2310.0,1.0,,,0.0,,0.0,,2310.0,2310.0,,7120.0,5.0,3750.0,,20.0,5.0,3.0,5.0,1.0,1.0,3.0,3.0,0.0,,201301.0,201602.0,201401.0,201705.0,,,,,,21498.0,43708.0,8.0,12.0,,,,,,,1.0,1.0,0.0,0.0,0.0,1.0,,,,,,4.0,0.0,0.0,0.0,0.0,1
6,201802,150.0,10520.0,13.0,,,3640.0,7.0,,,,,,,2500.0,1.0,,,,,3640.0,7.0,,,6530.0,7.0,990.0,3.0,2900.0,2.0,100.0,1.0,,,,,,,,,6610.0,3.0,,,,,,,,,,,,,160.0,1.0,,,1330.0,1.0,5120.0,1.0,160.0,1.0,,,,,,,,,,,2500.0,,2200.0,,,,2500.0,,,2200.0,,,,5120.0,,,,,,160.0,,,,1000.0,2.0,1000.0,2.0,,,,,,,,,1000.0,2.0,,,,,,,6000.0,1.0,6000.0,1.0,,,,,6000.0,1.0,,,,,,,,,900.0,900.0,,,6000.0,6000.0,,5970.0,2.0,5970.0,,731.0,3.0,4.0,2.0,1.0,1.0,3.0,1.0,350.0,,201506.0,201802.0,201507.0,201802.0,,,,,,6040.0,6040.0,,,,,,,,,4.0,3.0,0.0,1.0,0.0,3.0,,,,,,,,,,,1
6,201801,4080.0,7300.0,7.0,,,2920.0,2.0,,,,,,,,,,,,,2920.0,2.0,1880.0,1.0,3450.0,2.0,1950.0,3.0,20.0,1.0,,,,,,,,,,,7840.0,3.0,,,,,,,,,,,,,5950.0,2.0,,,,,7840.0,3.0,,,,,,,,,,,,,2900.0,,2900.0,,,,,,,2900.0,,,,3890.0,,,,,,3890.0,,,,10900.0,3.0,10900.0,3.0,,,,,,,,,10900.0,3.0,,,,,,,11102.0,5.0,11102.0,5.0,,,2900.0,1.0,2212.0,2.0,,,,,5990.0,2.0,,,5000.0,5000.0,,,4100.0,4100.0,,5990.0,2.0,5080.0,,731.0,3.0,4.0,2.0,1.0,1.0,3.0,1.0,4280.0,,201506.0,201801.0,201507.0,201801.0,,,,,,6040.0,6040.0,,,,,,,,,4.0,3.0,0.0,1.0,0.0,3.0,,,,,,,,,,,1
6,201712,3540.0,14120.0,56.0,1000.0,1.0,8580.0,50.0,,,,,,,1000.0,1.0,,,,,8580.0,50.0,,,3010.0,3.0,1510.0,4.0,710.0,3.0,3050.0,17.0,5840.0,29.0,,,,,,,17210.0,10.0,,,,,,,12400.0,4.0,,,,,1540.0,5.0,,,7070.0,2.0,3320.0,3.0,6820.0,5.0,,,,,,,,,,,2040.0,1000.0,2000.0,,,,1000.0,,,2000.0,,,,3800.0,,,3800.0,,,710.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5080.0,2.0,5080.0,,731.0,3.0,4.0,2.0,1.0,1.0,3.0,1.0,3740.0,,201506.0,201712.0,201507.0,201712.0,,,,,,6040.0,6040.0,,,1.0,1.0,0.0,0.0,0.0,1.0,4.0,3.0,0.0,1.0,0.0,3.0,,,,,,,,,,,1
6,201711,440.0,27140.0,15.0,,,19770.0,11.0,,,,,,,,,,,,,19770.0,11.0,15000.0,3.0,3050.0,2.0,2870.0,5.0,6020.0,4.0,200.0,1.0,,,,,,,,,5660.0,4.0,,,,,,,,,,,,,2880.0,3.0,,,,,430.0,1.0,5230.0,3.0,,,,,,,,,,,10000.0,,10000.0,,,,,,,10000.0,,,,2780.0,,,,,,2050.0,,,,5000.0,2.0,5000.0,1.0,0.0,1.0,,,,,,,5000.0,1.0,0.0,1.0,,,,,920.0,1.0,920.0,1.0,,,,,920.0,1.0,,,,,,,,,5000.0,5000.0,0.0,,920.0,920.0,,920.0,2.0,920.0,,731.0,3.0,4.0,2.0,1.0,1.0,3.0,1.0,640.0,,201506.0,201711.0,201507.0,201711.0,,,,,,6040.0,6040.0,,,,,,,,,3.0,2.0,0.0,1.0,0.0,2.0,,,,,,,,,,,1
